author,rating,content,images,videos,title,created_at,verified_purchase
Miss Pushpika,5,Cloth was very nice as shown as the picture ,https://assets.myntassets.com/assets/images/2024/1/3/d8e0dabe-cb90-4fa1-8f27-e117bf69bac31704293554282-image397.jpg;https://assets.myntassets.com/assets/images/2024/1/3/b00ee41a-65ef-4031-855c-21ed554b60ab1704293581147-image998.jpg,,,2024-01-03 14:54:16,ACTIVE
Rajni,5,"The product is very beautiful and size is also perfect the colour is very beautiful. The fabric is also good.Thank you myntra for beautiful product.
",https://assets.myntassets.com/assets/images/2024/3/8/5dcad4d7-4983-488f-bae3-9c81301674801709884002518-image369.jpg,,,2024-03-08 07:51:06,ACTIVE
Rani singh,5,"Awesome this kurta set's I love this style... And fabric was so soft.. Price ke according kurta sets was very good👍👍👍👍
",https://assets.myntassets.com/assets/images/2024/2/12/544b03f3-6cdf-4119-8d57-5166d62677101707728853543-image166.jpg,,,2024-02-12 09:09:35,ACTIVE
Rosalin sahoo,5,It's look beautiful drees awesome ❤️,https://assets.myntassets.com/assets/images/2024/4/30/22be28eb-3681-440a-b2d4-5f0b0f41a0841714483051166-image766.jpg,,,2024-04-30 13:18:14,ACTIVE
Jyoti Mishra,4,Nice Dress According to price materials is soft Nice ,https://assets.myntassets.com/assets/images/2024/4/11/32650f2a-1bda-49b7-a5fb-c408ac00e3cb1712858177241-image701.jpg;https://assets.myntassets.com/assets/images/2024/4/11/c87ad3a4-5099-48d3-8814-9d5b01e9cc621712858177128-image891.jpg,,,2024-04-11 17:57:15,ACTIVE
Sahida Parvin,5,"The material of the kurta is so perfect .The colour is so beautiful, exactly same in the picture. It's so beautiful ❤️. The packaging was nice and delivered on time. Overall the experience was great. Thank you Myntra.",,,,2024-05-31 18:30:48,ACTIVE
Sukannya Reddy,5,Material is soft and dress is same as in pic....just loved it perfect for office wear,https://assets.myntassets.com/assets/images/2024/1/23/bb485983-ba73-43bb-97ad-75f73dee338e1705985842507-image946.jpg;https://assets.myntassets.com/assets/images/2024/1/23/6d0bd14f-e559-442f-b0ab-62054e485c111705985842556-image747.jpg,,,2024-01-23 04:58:44,ACTIVE
Nallamaru sravani,5,"Overall dress is superb but size prblm so I exchangeed dress 
",https://assets.myntassets.com/assets/images/2024/3/9/ff7b43ee-d260-41c5-aef1-c61052ebab121709992721716-image478.jpg;https://assets.myntassets.com/assets/images/2024/3/9/01b23138-68c6-4a7a-b1a9-19286e5cca201709992721689-image764.jpg,,,2024-03-09 13:59:26,ACTIVE
priya,5, i m totally surprised becausw ye suit mujhe ek dm correct fit hua ....jaise ki maine iski fitting krayi ho...yaa ye suit mere liye hi bna ho...❤❤❤love this suit very much....❤❤,,,,2024-05-31 06:53:02,ACTIVE
Usha A,5,"Size Bought : S
Awesome Kurta Set 
I ordered the KALINI product but received Another
It Was Also Good 😊",https://assets.myntassets.com/assets/images/2024/4/4/26064ed3-42f4-4d5a-b09e-8f2619d798c91712250847139-image41.jpg,,,2024-04-04 17:14:23,ACTIVE
Girija,5,I trust myntra I never got products wherever from my city what I lv n what I want  which is got from  myntra I had no words say lot I always recommend myntra is best online shopping app ,,,,2024-04-17 21:28:10,ACTIVE
Shilpa Padaya,3,Even after ordering a bigger size the dress was a bit tight not that comfortable as I usually wear a bigger size in summer. Could not exchange the dress either as it's the last size available. Not a good experience.,,,,2024-04-01 08:24:17,ACTIVE
Neha Sharma,5,"Awesome in everything 
Like it very much ",https://assets.myntassets.com/assets/images/2024/6/4/1e65c9d7-d16f-480f-9e1f-9c48569dbb9e1717506597080-image789.jpg;https://assets.myntassets.com/assets/images/2024/6/4/b39e8533-ee9a-4766-a0ed-4eba7d128d011717506617708-image570.jpg,,,2024-06-04 13:11:21,ACTIVE
Kumar,5,Very good quality 💯💯,https://assets.myntassets.com/assets/images/2024/2/25/796b24d8-ada3-43e2-baf6-4d75a9e3ae651708869981128-image687.jpg;https://assets.myntassets.com/assets/images/2024/2/25/8cf33701-b867-48d7-8efb-01f95a7f63bf1708869966786-image971.jpg,,,2024-02-25 14:06:36,ACTIVE
Dha Nisha,5,"Thodi garmi zyada lag sakti hai. The fabric is not cotton.  Since my height is short, the kurti is longer than in the photo. I've got myself an L size . Loved the colour and the look. ",,,,2024-06-05 10:50:13,IMAGE_REJECTED
Aamani Anusuri,5,Undoubtedly we can purchase the kurtha set....This was the best Kurtha set that I bought till now....Pink set is amazing 😍😍,https://assets.myntassets.com/assets/images/2024/2/15/9b457db0-53f8-4d18-ba28-f6ce63dc53d91707989784088-image327.jpg,,,2024-02-15 09:36:26,ACTIVE
Archana Sondhiya,4,"Loved the product. Good quality.
",https://assets.myntassets.com/assets/images/2024/2/19/d8e89bb0-e965-4caa-b2b9-ace7ce96b3691708335445302-image96.jpg;https://assets.myntassets.com/assets/images/2024/2/19/6b6987c2-2d97-484c-9a7c-2963978e6fd71708335445251-image125.jpg,,,2024-02-19 09:38:07,ACTIVE
Juli,5,Thanx very beautiful dress🥰🥰,https://assets.myntassets.com/assets/images/2024/2/12/391a99fd-2f65-4801-8766-530e2a2ce7001707727122005-image697.jpg;https://assets.myntassets.com/assets/images/2024/2/12/504ef047-8ea8-4b0d-bc46-45e9fad1e43e1707727121999-image989.jpg,,,2024-02-12 08:39:11,ACTIVE
Myntra Customer,4,"A very lovely suit, fabric soft and falls well, fit is perfect. Color remains after wash. Overall it’s worth the money. I loved it . 
",,,,2024-03-05 05:26:13,ACTIVE
mamta,5,"Its lovely kurta set, perfect fit. Exactly as shown in image. Same colour. 
It gives a stylish look and odhani you can flaunt...its so beautiful...just looking like a wow!",,,,2024-03-13 12:21:49,ACTIVE
Manisha,4,Nice 👍👍👍👍,https://assets.myntassets.com/assets/images/2024/4/9/bd3dfcbe-3a88-4f2c-9cf7-90fc2bf887571712637059029-image958.jpg,,,2024-04-09 04:31:16,ACTIVE
Pavitra,4,The product was good as shown in the picture.the quality of the product is also good.fitting wise go for one size up.,,,,2024-05-15 06:49:36,ACTIVE
Myntra Customer,5,"Nice material 
Perfect stitching 
Correct size chart 
Affordable dress with price ",https://assets.myntassets.com/assets/images/2024/5/18/9643218c-d2c2-44b2-bb46-34ae7848ac3d1715998480548-image337.jpg,,,2024-05-18 02:15:33,ACTIVE
Varsha,5,"Bohot hi accha hai....I like it thank you KALINI 
I will purchase one more piece very soon ...",https://assets.myntassets.com/assets/images/2024/1/23/aa08691c-3aed-4c1e-b883-fcae1f2b9cee1706003195875-image285.jpg,,,2024-01-23 09:48:15,ACTIVE
Sneha chatterjee,5,"I literally like this kurta set so so so much.
It's very fittings to my body and the colour, the fabric quality is amazing.
At this price range, it's a fantastic deal.",,,,2024-05-29 16:42:48,ACTIVE
mangala nagaraj,5,"Wonderful product . Kurthi quality is super . As shown in pic. Thanks to mynthra

But delivery is not good .... It's taking too longer once it's shows out of delivery.",,,,2024-04-07 15:37:47,ACTIVE
Myntra Customer,5,"Super awesome dress I love this very much at this price 😍
",https://assets.myntassets.com/assets/images/2024/1/22/befd2131-2eb3-49d3-a578-91cda60f847f1705924807554-image913.jpg,,,2024-01-22 12:00:54,ACTIVE
Eram,5,Super cool fabric no fade color end color combination is vry pretty one of my favourite suit someone's looking cheap rate best product must go end buy,,,,2024-04-27 15:04:19,ACTIVE
Sachin Garel,5,"Quality is good, as expected. This is my fifth product from Kalini and it's amazing as usual. Nice color, design, duppata has appropriate length. ",,,,2024-03-23 05:27:05,ACTIVE
vaishnavi uppar,4,"It's awesome!!!.. I really like too much😍😍
And this dress is too comfortable 
Thank you Myntra✨",,,,2024-06-06 11:21:29,ACTIVE
Myntra Customer,4,Beautiful colour and fits perfectly. I had bought size M as my chest size is 36. Good for office wear.,,,,2024-06-05 05:44:20,ACTIVE
Chaitali,5,Beautiful and gorgeous dress . quality is good 💯😊,https://assets.myntassets.com/assets/images/2024/5/5/a2391beb-5d87-44f3-a7ed-24beacae10a51714932937202-image584.jpg,,,2024-05-05 18:16:23,ACTIVE
Bharti,5,My first order super beautiful thank you so much Mitra,https://assets.myntassets.com/assets/images/2024/3/17/e06b5515-7058-4e03-81a7-f0aaaa1cded01710687075371-image227.jpg,,,2024-03-17 14:52:05,ACTIVE
Apeksha Kale,5,"Absolutely love the Kurti-Pajama suit! The fabric is so soft,  Plus, it's super comfortable to wear all day. We can on any occasion!""
",,,,2024-03-31 11:33:57,ACTIVE
Devadiga,4,Good fabric &same as shown in the pic😍  little bit loose &long bt  it's ok I will correct it ,,,,2024-03-15 09:54:05,ACTIVE
Myntra Customer,5,Amezing product.thank u Myntra.,https://assets.myntassets.com/assets/images/2024/2/9/6ec43af5-332e-4b09-ac64-11d61d2f37491707465531936-image86.jpg;https://assets.myntassets.com/assets/images/2024/2/9/80f57c62-0db1-4f07-bb92-b2df4d7deeec1707465532900-image879.jpg,,,2024-02-09 07:56:37,ACTIVE
pallabi mohanty,3,Value of money it is ok ok product ,https://assets.myntassets.com/assets/images/2024/4/22/df0ed6f8-dbbc-4b9a-8cb2-fb401dc413cb1713810457405-image91.jpg,,,2024-04-22 18:28:34,ACTIVE
Mamatha,5,Material quality and design printing is too good I liked it 😊,https://assets.myntassets.com/assets/images/2024/2/17/35a65fc0-359d-479e-be7f-8416929a84ab1708155632029-image664.jpg,,,2024-02-17 07:41:22,ACTIVE
Shaik Noorjaha,4,Print and the dress fabric was too good and smooth. How it showed in the picture reflects the same,,,,2024-05-05 07:33:55,ACTIVE
Myntra Customer,5,,https://assets.myntassets.com/assets/images/2024/3/26/01f5bfbd-7552-499a-bc5b-b0e8e2f3a57a1711458357173-image9.jpg;https://assets.myntassets.com/assets/images/2024/3/26/310b8874-79a7-4d12-a8a1-dbe7f974c1741711458357129-image493.jpg,,,2024-03-26 13:06:01,ACTIVE
Priyanka Gupta Saxena,4,Beautiful same as shown in picture.....it's very comfortable......best.....,,,,2023-12-23 08:02:20,ACTIVE
Poorva,5,"Very pretty dress. Quality cloth is very nice, design is preety. Exact as shown in picture . Loved the quality of product..",,,,2024-05-04 16:32:28,ACTIVE
Shwethakumar,4,The fabric of the dress is normal as cute and the cost of the dress is also relevant,,,,2024-04-04 06:31:46,ACTIVE
Nisha,3,"Waw. 😍 Nice product. Fabric, colour, fitting was dam good and also fast delivery . I love this outfit 😍 must buy product😘",,,,2024-05-05 19:44:41,ACTIVE
Myntra Customer,4,"Nice kurti, cloth color little difference as shown as picture, totally I'm satisfied, go for it",,,,2024-04-13 03:50:15,ACTIVE
Sarwar Ali,5,"Good in quality, print looks elegant well finished stictched, full size dupatta.
keep up the good work Gosriki and Anni.",https://assets.myntassets.com/assets/images/2024/4/1/bbb73dbc-bf86-4108-9742-cbde2edd08831711980682670-image25.jpg;https://assets.myntassets.com/assets/images/2024/4/1/61e7b73c-a4dc-40ed-81d9-4470241b1fde1711980682794-image835.jpg;https://assets.myntassets.com/assets/images/2024/4/1/9d58cdd2-7f70-4fe3-b168-b2ba36fcef051711980683038-image89.jpg,,,2024-04-01 14:15:05,ACTIVE
sravanthiv,5,For daily wear purpose you can buy this dresses... They look nice in everyday style wear. Also Comfortable and smooth cloth.,,,,2024-05-08 07:54:37,ACTIVE
Lalita,5,"This product is delivered very responsibly and it was looking too good. Colour is also as expected as shown. Liked a lot.
",,,,2024-05-28 13:28:45,ACTIVE
Nagma shaikh,4,Quality is good 👍 👌 colour is so beautiful material is so comfortable. ,,,,2024-04-26 20:25:36,ACTIVE
Vanita Amin,5,"The print on kurti looks good but no guarantee after wash
Material is same as per description good length dupatta. I like it
",,,,2024-01-22 07:31:08,ACTIVE
Riddhi Bhanushali,5,"The fabric is so good and the colour is exactly the same as shown in the picture...
The overall quality is great!",,,,2024-05-26 19:01:39,ACTIVE
Tani,5,I liked it. Fabric is comfortable. ,https://assets.myntassets.com/assets/images/2024/2/28/a13be6a4-72f4-493f-a359-16df0d7c8e0f1709107481484-image821.jpg,,,2024-02-28 08:05:01,ACTIVE
Dipanjali Bihari,5,"I ordered this for my mom and she loved it. It’s best for summer. Affordable and comfortable to wear, go for it 
",,,,2024-05-22 07:20:31,ACTIVE
Nancy Lakshkar,3,Print is not good 🙂,https://assets.myntassets.com/assets/images/2024/1/16/23514e58-dd9e-4642-968a-84cdd42cc7831705391179265-image297.jpg,,,2024-01-16 07:46:46,ACTIVE
Radhika,5,This dress was fabulous the fabric was so nice the texture of dress is so outstanding the dress is comfortable ,,,,2024-06-02 06:25:38,ACTIVE
Supriya Singh,4,The color and the quality of this suit is good and true to size. Must buy it ,,,,2024-05-09 05:50:13,ACTIVE
RINGKEE SHARMA,5,"I just love the fabric and it fit so perfectly ♥️ 
",https://assets.myntassets.com/assets/images/2024/4/8/93e9ab50-6827-4380-bc18-4cbc28a31c181712563169568-image514.jpg,,,2024-04-08 08:01:23,ACTIVE
Rekha Rathod,5,,https://assets.myntassets.com/assets/images/2024/4/21/bd34c89d-3f44-4a5e-952d-942225cc37b31713720145612-image482.jpg;https://assets.myntassets.com/assets/images/2024/4/21/bebd71e5-9ca1-44c6-8232-48d099ceac481713720145454-image4.jpg,,,2024-04-21 17:22:31,ACTIVE
Manikandan,4,"Product quality is good. And material also nice...overall the product is superb
",,,,2024-02-29 07:57:02,ACTIVE
Pinki Sharma,5,Premium And Exellent product. Was Comfortable while wearing and and really nice for any type of Occasion ,,,,2024-04-29 17:35:58,ACTIVE
Myntra Customer,5,"Quality, fitting, everything is just amazing, stuff is so soft and skin friendly.. go for it guys ❤️",,,,2024-05-08 04:30:25,ACTIVE
kamal,3,Very beautiful and comfortable suit.,https://assets.myntassets.com/assets/images/2024/3/7/6339a0f8-f938-4fd8-ba49-72520424bba21709777431494-image728.jpg,,,2024-03-07 02:10:44,ACTIVE
Nisha,4,This kurti set was very good and fabric is very soft ... awesome product ,,,,2024-04-06 11:08:50,ACTIVE
Tulasi Kothapalli,5,"I received the product as shown in the picture, fit also fits nice, The material quality is also
 very good",,,,2024-04-26 08:19:35,ACTIVE
vidhi,3,"Overall is pretty, but the stitching of the pant Plazo is pulled from the bottom, which is why it is defective.",,,,2024-03-22 05:14:06,IMAGE_REJECTED
Tanuja,5,"I have no picture because I given gifted., but Dress is so awesome., quality of product is so classic..",,,,2024-06-02 02:26:21,ACTIVE
seema sawarkar,5,Very  good quality. 👍👍,https://assets.myntassets.com/assets/images/2024/2/11/8222024a-3499-4d7b-a99c-ef6c13c2c4e71707646442424-image298.jpg,,,2024-02-11 10:14:35,ACTIVE
Soi,5,"Super soft fabric .and Elegant dupatta . It’s a value for money .
It’s a ideal daily wear for hot weather ",,,,2024-05-31 05:51:36,ACTIVE
Shreeya,5,I really loved this product such a good quality product in that price i was not expecting at all thank you so much,,,,2024-03-09 02:12:38,ACTIVE
Aditi Pandey,5,"This was my first and best purchase from myntra. 
Size , quality, material, colour and comfort all are  best.",,,,2024-05-03 10:48:24,ACTIVE
5976,5,Osmmm quality and love to wear this basically I don't wear ethnic but this suit was amazing thanks Myntra ♥️,,,,2024-02-23 17:08:34,ACTIVE
Versha Sharma,4,,https://assets.myntassets.com/assets/images/2024/3/22/57728fd0-b295-4cae-8196-1051d0a0d5491711087678176-image923.jpg,,,2024-03-22 06:08:03,ACTIVE
Grace verma,5,Very nice product ❤️,https://assets.myntassets.com/assets/images/2024/4/8/93599c0b-adf2-4dfe-bf49-3addfad0c2571712577015595-image242.jpg,,,2024-04-08 11:50:33,ACTIVE
subhashree priyadarsini,4,So good fabric..I got as the same I ordered its so beautiful 😍,,,,2024-06-06 14:59:44,ACTIVE
Rituparna kakati,4,"just loved this kurta set,the fabrics quality is too good♥️",,,,2024-02-12 06:03:56,ACTIVE
Priyanka Jawale,5,The quality is amazing. I have ordered 3 till and all were just awesome. 1 is on the way mintra never disappoints ,,,,2024-01-12 19:47:37,ACTIVE
Pooja Tayal,4,This article is just superb... Awesome look and fabric great 👍👍,,,,2024-06-02 15:36:06,ACTIVE
Renu pal,5,"Happy loved it
Thanks

",https://assets.myntassets.com/assets/images/2024/4/9/0f5999c2-cefb-4dda-89cb-4afa1e8a65551712643883144-image338.jpg,,,2024-04-09 06:25:44,ACTIVE
Khushi yadav,5,Perfect 😍😍😍😍😘😘😘😘😘😘😘😍😍❤️❤️❤️❤️❤️❤️❤️,,,,2024-05-03 04:38:49,ACTIVE
payal borisa,3,Kurta and duppata matrial is awesome but only concern with pant otherwise looks good this dress after wearing.,,,,2024-06-04 10:41:52,ACTIVE
disha biswas,5,Loved the quality ☺,https://assets.myntassets.com/assets/images/2024/5/17/8bab9975-74a9-4601-8b39-18d8c8310d3e1715913088691-image934.jpg,,,2024-05-17 02:31:42,ACTIVE
Lucky,5,best purchase ever... bht axa fabric hai .. color bhi bht pretty hn.. i love this kurta.. 😍😍❤ ,https://assets.myntassets.com/assets/images/2024/3/10/858bc479-018a-4e5e-aa12-2fcee3d03fef1710065759540-image102.jpg,,,2024-03-10 10:16:55,ACTIVE
sumayya.h,5,Same as shown in the picture good quality and cotton I loved it thank you so much Myntra 👍🤩,,,,2024-06-01 07:01:03,ACTIVE
Jayanti,5,"Awesome dress with good quality and size as shown in the picture.
Everyone should go for it.",https://assets.myntassets.com/assets/images/2024/5/28/95b3ed95-34a7-4a34-9ccb-00ebd73a84a21716918677088-image244.jpg,,,2024-05-28 17:52:55,ACTIVE
Priyanshu chauhan,5,"The overall quality,fit, and colour is very very nice. The product is amazing 😍😍😍 
",,,,2024-04-18 04:55:29,ACTIVE
Chatnaba,5,"Material quality is nice 👍 design is also great 
I love this dress best product in low budget ",,,,2024-05-26 06:37:20,ACTIVE
seema Kaithwas,4,"Good in diz price..... Love d colour nd duptta just woow....
",,,,2024-04-09 11:37:14,ACTIVE
Myntra Customer,1,It's a great product to buy . Texture is soft and good 😊,,,,2024-05-12 12:29:49,ACTIVE
Kunal,4,"Fine fabric , very comfortable to wear looks awesome 👍 
",,,,2024-05-16 12:49:41,ACTIVE
Myntra Customer,2,"The product is comfortable  but the pants tore off in the first use itself. 
Wouldn't recommend ",,,,2024-02-16 12:15:24,ACTIVE
Myntra Customer,5,Gorgeous as seen in the picture... Must buy... Value for money.... Material is soft and sooo good,,,,2024-04-26 11:27:10,ACTIVE
Shweta,4,Nice product same as shown in picture....loved it...must buy.,https://assets.myntassets.com/assets/images/2024/5/9/7aad6a46-d1e2-4a98-b88e-a3d55773b3851715249904298-image387.jpg,,,2024-05-09 10:18:59,ACTIVE
Aparna,5,"Material is very comfortable colour is same as in preview. Suggest to buy. Thank you Kalini.
",,,,2024-05-24 11:33:48,ACTIVE
Myntra Customer,5,"Awesome. Product overall and colour of the dress is outstanding. Tq for this beautiful dress
",,,,2024-05-20 19:14:15,ACTIVE
Jyoti,5,"Amazing fabric and comfort 
Looks Exactly as shown in the pictures 
Just go for it 👍🏻",,,,2024-05-27 03:24:31,ACTIVE
Avinash Kamble,5,"It's very nice dress I love it material is very nice, same as shown in picture 😁 
",,,,2024-04-18 05:58:54,ACTIVE
Shruti,5,"The quality of the cloth is really good and soft. Colour is also as shown. Great product 
",,,,2024-04-23 08:43:45,ACTIVE
Deepthi Rathna Amara,4,Nice product  and quality of the cloth is simply super,,,,2024-03-05 07:00:55,ACTIVE
Bharti,4,"It's fit is amazing, material is wow, comfortable also",,,,2024-05-27 09:49:47,ACTIVE
Aliya,5,Same as shown good quality product best for office wear thanks myntra for good product ,https://assets.myntassets.com/assets/images/2024/5/31/5684efdd-fee7-4b99-9e66-c908890625531717147245423-image898.jpg;https://assets.myntassets.com/assets/images/2024/5/31/c1b40400-fd58-4b16-858c-07aee2db7ebd1717147254566-image326.jpg,,,2024-05-31 09:22:04,ACTIVE
Ritika,5,It looks great and quality is good too. But it didn't look good on me so i returned it.,,,,2024-04-27 03:53:11,ACTIVE
Jyoti Singh,5,"It is so good i liked it very much, very good quality,size is perfect, colour is also so good ",https://assets.myntassets.com/assets/images/2024/4/28/6437079d-7faf-4812-9721-ef4cc24617c71714304506410-image33.jpg,,,2024-04-28 11:43:18,ACTIVE
Akanksha Pathak,4,Very very beautiful...dupatta ka length bhut achha hai,,,,2024-05-15 16:54:16,ACTIVE
Shreya Giri,5,"Really loved it........
One of the best material......
Excellent product thanks 😊 ",,,,2024-06-06 17:46:07,ACTIVE
Darshana,4,"Material is good and the color also looks bright.
",,,,2024-02-21 06:20:44,ACTIVE
Joice,4,Nice colour.. Material is overall good 👍👍😊,,,,2024-06-04 16:22:15,ACTIVE
Ammu,5,"Love this dress 😍In a world of trends, I choose timeless tradition.♥😎...",https://assets.myntassets.com/assets/images/2024/6/4/3110a7e3-64b8-4cd8-b3e8-01718c99a04b1717517306411-image59.jpg;https://assets.myntassets.com/assets/images/2024/6/4/c142f593-8e83-4709-9044-b11524612ae31717517547887-image913.jpg;https://assets.myntassets.com/assets/images/2024/6/4/813fbda1-837a-40de-9da6-665dedf6f1201717517548191-image414.jpg;https://assets.myntassets.com/assets/images/2024/6/4/967a44b2-72ad-4293-932d-8fd211379a3f1717517547568-image75.jpg,,,2024-06-04 16:12:43,ACTIVE
Milana Raghu,5,"Beautiful dress, happy to wear this dress. colour is just as shown in the picture. 
",,,,2024-04-23 03:16:36,ACTIVE
divya sahay,5,best quality... best design.... go girl .. you can buy it without a single doubt😍,,,,2024-03-25 12:52:39,ACTIVE
Betsy B K,5,Beautiful set as picture and lovely color. Was a gift to my mil and she loved it. ,,,,2024-05-12 08:41:19,ACTIVE
rameshwari shangrapawar,4,"Colour is so nice 👍
 fabric material good ",https://assets.myntassets.com/assets/images/2024/3/5/a0af08ae-0d9a-49fa-b88b-0158c3cc10ba1709606737710-image661.jpg,,,2024-03-05 02:46:34,ACTIVE
roopa pawar,5,Quality is very good and very comfy clothing and nice colour as shown in picture ,,,,2024-05-04 06:29:05,ACTIVE
Vaishnavi,5,"The quality of the dress is very nice , overall I like the dress,  thank u ..👍",,,,2024-04-25 03:19:25,ACTIVE
mahalakshmi,5,"Dress fitting and quality was so good , looking decent satisfied with the product ",,,,2024-05-31 11:01:00,ACTIVE
Myntra Customer,5,"I like this product. Fabric and colour very nice. I like this product very much.
",,,,2024-06-06 04:58:23,ACTIVE
Pratibha,4,Good 😊,https://assets.myntassets.com/assets/images/2023/12/9/0b07832d-0b8d-4d6a-957d-f3cee15c74451702129307138-image971.jpg,,,2023-12-09 13:42:12,ACTIVE
Myntra Customer,5,👌👌 product material is good. Received same color and correct sized dress,,,,2024-05-07 20:06:39,ACTIVE
Lakshmi Prasanna,4,Product was absolutely decent for below  5'8,,,,2023-12-31 10:17:54,ACTIVE
